 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # energyDemand.dat, contains the energy demand for each vector           
 #--------------------------------------------------------------------------#

Time [h]  Electricity [kW]      Thermal [kW]     Chilling [kW]

1.00E+00        0.000E+00      0.000E+00      0.000E+00
2.00E+00        0.000E+00      0.000E+00      0.000E+00
3.00E+00        0.000E+00      0.000E+00      0.000E+00
4.00E+00        0.000E+00      0.000E+00      0.000E+00
5.00E+00        0.000E+00      0.000E+00      0.000E+00
6.00E+00        0.000E+00      0.000E+00      0.000E+00
7.00E+00        0.000E+00      0.000E+00      0.000E+00
8.00E+00        4.290E+01      2.570E+02      0.000E+00
9.00E+00        4.290E+01      2.570E+02      0.000E+00
1.00E+01        4.290E+01      2.796E+02      0.000E+00
1.10E+01        4.290E+01      2.796E+02      0.000E+00
1.20E+01        4.290E+01      2.796E+02      0.000E+00
1.30E+01        4.290E+01      2.796E+02      0.000E+00
1.40E+01        4.290E+01      2.796E+02      0.000E+00
1.50E+01        4.290E+01      2.796E+02      0.000E+00
1.60E+01        4.290E+01      2.796E+02      0.000E+00
1.70E+01        4.290E+01      2.796E+02      0.000E+00
1.80E+01        4.290E+01      2.796E+02      0.000E+00
1.90E+01        4.290E+01      2.796E+02      0.000E+00
2.00E+01        4.290E+01      2.796E+02      0.000E+00
2.10E+01        4.290E+01      2.796E+02      0.000E+00
2.20E+01        4.290E+01      0.000E+00      0.000E+00
2.30E+01        0.000E+00      0.000E+00      0.000E+00
2.40E+01        0.000E+00      0.000E+00      0.000E+00
